E-UTRAN FDD Cell Name,count
TRI435L-1,389
TRI435L-2,389
TRI882L-10,389
TRI882L-1,389
TRI435L-6,389
TRI435L-5,389
TRI435L-4,389
TRI435L-3,389
TRI882L-28,389
TRI882L-29,389
TRI882L-3,389
TRI882L-30,389
TRI882L-31,389
TRI882L-32,389
TRI882L-11,389
TRI882L-12,389
TRI882L-2,389
TRI882L-21,389
TRI882L-22,389
TRI882L-23,389
TRI882L-24,389
TRI882L-25,389
TRI882L-26,389
TRI882L-27,389
TRI882L-6,389
TRI882L-7,389
TRI882L-8,389
TRI882L-9,389
TRI882L-4,389
TRI882L-5,389
TRI878L-9,389
TRI878L-8,389
TRI878L-4,389
TRI878L-5,389
TRI878L-3,389
TRI878L-2,389
TRI878L-11,389
TRI878L-12,389
TRI878L-1,389
TRI878L-10,389
TRI809L-1,389
TRI809L-2,389
TRI022L-8,389
TRI022L-9,389
TRI1007L-1,389
TRI1007L-2,389
TRI022L-7,389
TRI022L-6,389
TRI022L-5,389
TRI022L-4,389
TRI878L-6,389
TRI878L-7,389
TRI183L-1,389
TRI183L-10,389
TRI183L-12,389
TRI183L-11,389
TRI183L-8,389
TRI183L-9,389
TRI183L-2,389
TRI183L-3,389
TRI183L-4,389
TRI183L-5,389
TRI183L-6,389
TRI183L-7,389
TRI209L-3,389
TRI209L-4,389
TRI209L-1,389
TRI209L-2,389
TRI209L-5,389
TRI209L-6,389
TRI166L-10,389
TRI166L-1,389
TRI165L-5,389
TRI165L-6,389
TRI166L-11,389
TRI166L-12,389
TRI166L-2,389
TRI166L-3,389
TRI166L-4,389
TRI166L-5,389
TRI166L-6,389
TRI166L-7,389
TRI166L-8,389
TRI166L-9,389
TRI165L-1,389
TRI165L-2,389
TRI165L-3,389
TRI165L-4,389
TRI231L-4,389
TRI231L-5,389
TRI231L-1,389
TRI231L-10,389
TRI231L-11,389
TRI231L-12,389
TRI231L-2,389
TRI231L-3,389
TRI231L-8,389
TRI231L-9,389
TRI231L-6,389
TRI231L-7,389
TRI1007L-5,389
TRI1007L-6,389
TRI1007L-4,389
TRI1007L-3,389
TRI695L-6,389
TRI695L-5,389
TRI695L-4,389
TRI695L-3,389
TRI809L-3,389
TRI809L-4,389
TRI809L-6,389
TRI809L-5,389
TRI695L-2,389
TRI695L-1,389
TRI022L-3,389
TRI022L-2,389
TRI022L-12,389
TRI022L-11,389
TRI022L-10,389
TRI022L-1,389
TRI730L-4,388
TRI730L-3,388
TRI730L-2,388
TRI730L-1,388
TRI055L-4,388
TRI055L-3,388
TRI055L-6,388
TRI055L-5,388
TRI055L-1,388
TRI055L-2,388
TRI730L-5,388
TRI730L-6,388
TRI194L-2,388
TRI194L-1,388
TRI194L-4,388
TRI194L-3,388
TRI194L-6,388
TRI194L-5,388
TRI825L-4,383
TRI825L-3,383
TRI825L-5,383
TRI825L-6,383
TRI825L-2,383
TRI825L-1,383
TRI878L-71,237
TRI878L-72,237
TRI878L-73,237
TRI209L-71,237
TRI209L-72,237
TRI209L-73,237
TRI166L-71,237
TRI166L-72,237
TRI166L-73,237
TRI165L-71,237
TRI165L-72,237
TRI165L-73,237
TRI231L-71,237
TRI231L-72,237
TRI231L-73,237
TRI022L-72,237
TRI809L-72,237
TRI022L-71,237
TRI809L-71,237
TRI022L-73,237
TRI809L-73,237
TRI194L-71,236
TRI194L-72,236
TRI194L-73,236
